评分人,身份证号1,职位类别,被评分人,身份证号2,职位类别,权重,指标1,指标2,指标3,指标4,指标5,合计
公司人名2,110101199001011235,公司主要领导,公司人名3,110101199001011236,正职,0.3,,,,,,
公司人名4,110101199001011237,副职,公司人名3,110101199001011236,正职,0.4,,,,,,
公司人名4,110101199001011238,一般管理人员,公司人名3,110101199001011236,正职,0.4,,,,,,
公司人名2,110101199001011235,公司主要领导,公司人名4,110101199001011237,副职,0.3,,,,,,
公司人名3,110101199001011236,正职,公司人名4,110101199001011237,副职,0.3,,,,,,
公司人名4,110101199001011238,一般管理人员,公司人名4,110101199001011237,副职,0.4,,,,,,
公司人名3,110101199001011236,正职,公司人名4,110101199001011238,一般管理人员,0.3,,,,,,
公司人名4,110101199001011237,副职,公司人名4,110101199001011238,一般管理人员,0.3,,,,,,
公司人名4,110101199001011238,一般管理人员,公司人名4,110101199001011238,一般管理人员,0.4,,,,,,
公司人名2,110101199001011235,公司主要领导,公司人名5,110101199001011239,正职,0.3,,,,,,
公司人名6,110101199001011240,副职,公司人名5,110101199001011239,正职,0.4,,,,,,
公司人名6,110101199001011241,一般管理人员,公司人名5,110101199001011239,正职,0.4,,,,,,
公司人名2,110101199001011235,公司主要领导,公司人名6,110101199001011240,副职,0.3,,,,,,
公司人名5,110101199001011239,正职,公司人名6,110101199001011240,副职,0.3,,,,,,
公司人名6,110101199001011241,一般管理人员,公司人名6,110101199001011240,副职,0.4,,,,,,
公司人名5,110101199001011239,正职,公司人名6,110101199001011241,一般管理人员,0.3,,,,,,
公司人名6,110101199001011240,副职,公司人名6,110101199001011241,一般管理人员,0.3,,,,,,
公司人名6,110101199001011241,一般管理人员,公司人名6,110101199001011241,一般管理人员,0.4,,,,,,
公司人名2,110101199001011235,公司主要领导,公司人名7,110101199001011242,正职,0.3,,,,,,
公司人名8,110101199001011243,副职,公司人名7,110101199001011242,正职,0.4,,,,,,
公司人名8,110101199001011244,一般管理人员,公司人名7,110101199001011242,正职,0.4,,,,,,
公司人名2,110101199001011235,公司主要领导,公司人名8,110101199001011243,副职,0.3,,,,,,
公司人名7,110101199001011242,正职,公司人名8,110101199001011243,副职,0.3,,,,,,
公司人名8,110101199001011244,一般管理人员,公司人名8,110101199001011243,副职,0.4,,,,,,
公司人名7,110101199001011242,正职,公司人名8,110101199001011244,一般管理人员,0.3,,,,,,
公司人名8,110101199001011243,副职,公司人名8,110101199001011244,一般管理人员,0.3,,,,,,
公司人名8,110101199001011244,一般管理人员,公司人名8,110101199001011244,一般管理人员,0.4,,,,,,
公司人名2,110101199001011235,公司主要领导,公司人名9,110101199001011245,正职,0.3,,,,,,
公司人名9,110101199001011246,副职,公司人名9,110101199001011245,正职,0.4,,,,,,
公司人名10,110101199001011247,一般管理人员,公司人名9,110101199001011245,正职,0.4,,,,,,
公司人名2,110101199001011235,公司主要领导,公司人名9,110101199001011246,副职,0.3,,,,,,
公司人名9,110101199001011245,正职,公司人名9,110101199001011246,副职,0.3,,,,,,
公司人名10,110101199001011247,一般管理人员,公司人名9,110101199001011246,副职,0.4,,,,,,
公司人名9,110101199001011245,正职,公司人名10,110101199001011247,一般管理人员,0.3,,,,,,
公司人名9,110101199001011246,副职,公司人名10,110101199001011247,一般管理人员,0.3,,,,,,
公司人名10,110101199001011247,一般管理人员,公司人名10,110101199001011247,一般管理人员,0.4,,,,,,
项目人名1,110101199001011248,公司主要领导,项目人名3,110101199001011250,正职,0.3,,,,,,
项目人名2,110101199001011249,公司主要领导,项目人名3,110101199001011250,正职,0.3,,,,,,
项目人名4,110101199001011251,副职,项目人名3,110101199001011250,正职,0.4,,,,,,
项目人名4,110101199001011252,一般管理人员,项目人名3,110101199001011250,正职,0.4,,,,,,
项目人名1,110101199001011248,公司主要领导,项目人名4,110101199001011251,副职,0.3,,,,,,
项目人名2,110101199001011249,公司主要领导,项目人名4,110101199001011251,副职,0.3,,,,,,
项目人名3,110101199001011250,正职,项目人名4,110101199001011251,副职,0.3,,,,,,
项目人名4,110101199001011252,一般管理人员,项目人名4,110101199001011251,副职,0.4,,,,,,
项目人名3,110101199001011250,正职,项目人名4,110101199001011252,一般管理人员,0.3,,,,,,
项目人名4,110101199001011251,副职,项目人名4,110101199001011252,一般管理人员,0.3,,,,,,
项目人名4,110101199001011252,一般管理人员,项目人名4,110101199001011252,一般管理人员,0.4,,,,,,
项目人名1,110101199001011248,公司主要领导,项目人名5,110101199001011253,正职,0.3,,,,,,
项目人名2,110101199001011249,公司主要领导,项目人名5,110101199001011253,正职,0.3,,,,,,
项目人名6,110101199001011254,副职,项目人名5,110101199001011253,正职,0.4,,,,,,
项目人名6,110101199001011255,一般管理人员,项目人名5,110101199001011253,正职,0.4,,,,,,
项目人名1,110101199001011248,公司主要领导,项目人名6,110101199001011254,副职,0.3,,,,,,
项目人名2,110101199001011249,公司主要领导,项目人名6,110101199001011254,副职,0.3,,,,,,
项目人名5,110101199001011253,正职,项目人名6,110101199001011254,副职,0.3,,,,,,
项目人名6,110101199001011255,一般管理人员,项目人名6,110101199001011254,副职,0.4,,,,,,
项目人名5,110101199001011253,正职,项目人名6,110101199001011255,一般管理人员,0.3,,,,,,
项目人名6,110101199001011254,副职,项目人名6,110101199001011255,一般管理人员,0.3,,,,,,
项目人名6,110101199001011255,一般管理人员,项目人名6,110101199001011255,一般管理人员,0.4,,,,,,
项目人名1,110101199001011248,公司主要领导,项目人名7,110101199001011256,正职,0.3,,,,,,
项目人名2,110101199001011249,公司主要领导,项目人名7,110101199001011256,正职,0.3,,,,,,
项目人名8,110101199001011257,副职,项目人名7,110101199001011256,正职,0.4,,,,,,
项目人名8,110101199001011258,一般管理人员,项目人名7,110101199001011256,正职,0.4,,,,,,
项目人名1,110101199001011248,公司主要领导,项目人名8,110101199001011257,副职,0.3,,,,,,
项目人名2,110101199001011249,公司主要领导,项目人名8,110101199001011257,副职,0.3,,,,,,
项目人名7,110101199001011256,正职,项目人名8,110101199001011257,副职,0.3,,,,,,
项目人名8,110101199001011258,一般管理人员,项目人名8,110101199001011257,副职,0.4,,,,,,
项目人名7,110101199001011256,正职,项目人名8,110101199001011258,一般管理人员,0.3,,,,,,
项目人名8,110101199001011257,副职,项目人名8,110101199001011258,一般管理人员,0.3,,,,,,
项目人名8,110101199001011258,一般管理人员,项目人名8,110101199001011258,一般管理人员,0.4,,,,,,
项目人名1,110101199001011248,公司主要领导,项目人名9,110101199001011259,正职,0.3,,,,,,
项目人名2,110101199001011249,公司主要领导,项目人名9,110101199001011259,正职,0.3,,,,,,
项目人名9,110101199001011260,副职,项目人名9,110101199001011259,正职,0.4,,,,,,
项目人名1,110101199001011248,公司主要领导,项目人名9,110101199001011260,副职,0.3,,,,,,
项目人名2,110101199001011249,公司主要领导,项目人名9,110101199001011260,副职,0.3,,,,,,
项目人名9,110101199001011259,正职,项目人名9,110101199001011260,副职,0.3,,,,,,
专业化人名1,110101199001011261,一般管理人员,专业化人名1,110101199001011261,一般管理人员,0.4,,,,,,
专业化人名2,110101199001011262,公司主要领导,专业化人名4,110101199001011264,正职,0.3,,,,,,
专业化人名3,110101199001011263,公司主要领导,专业化人名4,110101199001011264,正职,0.3,,,,,,
专业化人名5,110101199001011265,副职,专业化人名4,110101199001011264,正职,0.4,,,,,,
专业化人名6,110101199001011266,一般管理人员,专业化人名4,110101199001011264,正职,0.4,,,,,,
专业化人名2,110101199001011262,公司主要领导,专业化人名5,110101199001011265,副职,0.3,,,,,,
专业化人名3,110101199001011263,公司主要领导,专业化人名5,110101199001011265,副职,0.3,,,,,,
专业化人名4,110101199001011264,正职,专业化人名5,110101199001011265,副职,0.3,,,,,,
专业化人名6,110101199001011266,一般管理人员,专业化人名5,110101199001011265,副职,0.4,,,,,,
专业化人名4,110101199001011264,正职,专业化人名6,110101199001011266,一般管理人员,0.3,,,,,,
专业化人名5,110101199001011265,副职,专业化人名6,110101199001011266,一般管理人员,0.3,,,,,,
专业化人名6,110101199001011266,一般管理人员,专业化人名6,110101199001011266,一般管理人员,0.4,,,,,,
专业化人名2,110101199001011262,公司主要领导,专业化人名7,110101199001011267,正职,0.3,,,,,,
专业化人名3,110101199001011263,公司主要领导,专业化人名7,110101199001011267,正职,0.3,,,,,,
专业化人名8,110101199001011268,副职,专业化人名7,110101199001011267,正职,0.4,,,,,,
专业化人名9,110101199001011269,一般管理人员,专业化人名7,110101199001011267,正职,0.4,,,,,,
专业化人名2,110101199001011262,公司主要领导,专业化人名8,110101199001011268,副职,0.3,,,,,,
专业化人名3,110101199001011263,公司主要领导,专业化人名8,110101199001011268,副职,0.3,,,,,,
专业化人名7,110101199001011267,正职,专业化人名8,110101199001011268,副职,0.3,,,,,,
专业化人名9,110101199001011269,一般管理人员,专业化人名8,110101199001011268,副职,0.4,,,,,,
专业化人名7,110101199001011267,正职,专业化人名9,110101199001011269,一般管理人员,0.3,,,,,,
专业化人名8,110101199001011268,副职,专业化人名9,110101199001011269,一般管理人员,0.3,,,,,,
专业化人名9,110101199001011269,一般管理人员,专业化人名9,110101199001011269,一般管理人员,0.4,,,,,,
