身份证号,姓名,所属单位,单位编码,部门名称,部门编码,职位类别,密码,是否管理员
110101199001011235,公司人名2,七公司,1001,主要领导,2009,公司主要领导,011235,1
110101199001011236,公司人名3,七公司,1001,财务部,2002,正职,011236,0
110101199001011237,公司人名4,七公司,1001,财务部,2002,副职,011237,0
110101199001011238,公司人名4,七公司,1001,财务部,2002,一般管理人员,011238,0
110101199001011239,公司人名5,七公司,1001,工程部,2004,正职,011239,0
110101199001011240,公司人名6,七公司,1001,工程部,2004,副职,011240,0
110101199001011241,公司人名6,七公司,1001,工程部,2004,一般管理人员,011241,0
110101199001011242,公司人名7,七公司,1001,市场部,2006,正职,011242,0
110101199001011243,公司人名8,七公司,1001,市场部,2006,副职,011243,0
110101199001011244,公司人名8,七公司,1001,市场部,2006,一般管理人员,011244,0
110101199001011245,公司人名9,七公司,1001,研发部,2008,正职,011245,0
110101199001011246,公司人名9,七公司,1001,研发部,2008,副职,011246,0
110101199001011247,公司人名10,七公司,1001,研发部,2008,一般管理人员,011247,0
110101199001011248,项目人名1,项目A,1002,主要领导,2009,公司主要领导,011248,0
110101199001011249,项目人名2,项目A,1002,主要领导,2009,公司主要领导,011249,0
110101199001011250,项目人名3,项目A,1002,财务部,2002,正职,011250,0
110101199001011251,项目人名4,项目A,1002,财务部,2002,副职,011251,0
110101199001011252,项目人名4,项目A,1002,财务部,2002,一般管理人员,011252,0
110101199001011253,项目人名5,项目A,1002,工程部,2004,正职,011253,0
110101199001011254,项目人名6,项目A,1002,工程部,2004,副职,011254,0
110101199001011255,项目人名6,项目A,1002,工程部,2004,一般管理人员,011255,0
110101199001011256,项目人名7,项目A,1002,商务部,2005,正职,011256,0
110101199001011257,项目人名8,项目A,1002,商务部,2005,副职,011257,0
110101199001011258,项目人名8,项目A,1002,商务部,2005,一般管理人员,011258,0
110101199001011259,项目人名9,项目A,1002,安质部,2001,正职,011259,0
110101199001011260,项目人名9,项目A,1002,安质部,2001,副职,011260,0
110101199001011261,专业化人名1,专业化A,1003,安质部,2001,一般管理人员,011261,0
110101199001011262,专业化人名2,专业化A,1003,主要领导,2009,公司主要领导,011262,0
110101199001011263,专业化人名3,专业化A,1003,主要领导,2009,公司主要领导,011263,0
110101199001011264,专业化人名4,专业化A,1003,试验室,2007,正职,011264,0
110101199001011265,专业化人名5,专业化A,1003,试验室,2007,副职,011265,0
110101199001011266,专业化人名6,专业化A,1003,试验室,2007,一般管理人员,011266,0
110101199001011267,专业化人名7,专业化A,1003,测量室,2003,正职,011267,0
110101199001011268,专业化人名8,专业化A,1003,测量室,2003,副职,011268,0
110101199001011269,专业化人名9,专业化A,1003,测量室,2003,一般管理人员,011269,0
